uid,restaurant_id,category_id,name,description,image_url,price_minor,food_type,spice_level,is_available,is_bestseller,prep_time_mins,sort_order,status
itm_dummy_001,1,1,Dummy Dish 001,Sample menu item 001,,10100,veg,mild,true,false,8,1,active
itm_dummy_002,1,2,Dummy Dish 002,Sample menu item 002,,10200,non_veg,medium,true,false,9,2,active
itm_dummy_003,1,3,Dummy Dish 003,Sample menu item 003,,10300,egg,hot,true,false,10,3,active
itm_dummy_004,1,4,Dummy Dish 004,Sample menu item 004,,10400,veg,medium,true,false,8,4,active
itm_dummy_005,1,5,Dummy Dish 005,Sample menu item 005,,10500,non_veg,hot,true,true,11,5,active
itm_dummy_006,1,6,Dummy Dish 006,Sample menu item 006,,10600,veg,mild,true,false,7,6,active
itm_dummy_007,1,7,Dummy Dish 007,Sample menu item 007,,10700,egg,,false,false,6,7,active
itm_dummy_008,1,1,Dummy Dish 008,Sample menu item 008,,10800,veg,medium,true,false,8,8,active
itm_dummy_009,1,2,Dummy Dish 009,Sample menu item 009,,10900,non_veg,hot,true,false,12,9,active
itm_dummy_010,1,3,Dummy Dish 010,Sample menu item 010,,11000,egg,mild,false,true,10,10,active
itm_dummy_011,1,4,Dummy Dish 011,Sample menu item 011,,11100,veg,mild,true,false,8,11,active
itm_dummy_012,1,5,Dummy Dish 012,Sample menu item 012,,11200,non_veg,medium,true,false,12,12,active
itm_dummy_013,1,6,Dummy Dish 013,Sample menu item 013,,11300,veg,hot,true,false,7,13,active
itm_dummy_014,1,7,Dummy Dish 014,Sample menu item 014,,11400,egg,,true,false,6,14,active
itm_dummy_015,1,1,Dummy Dish 015,Sample menu item 015,,11500,veg,medium,true,true,8,15,active
itm_dummy_016,1,2,Dummy Dish 016,Sample menu item 016,,11600,non_veg,hot,true,false,11,16,active
itm_dummy_017,1,3,Dummy Dish 017,Sample menu item 017,,11700,egg,mild,true,false,10,17,active
itm_dummy_018,1,4,Dummy Dish 018,Sample menu item 018,,11800,veg,medium,true,false,9,18,active
itm_dummy_019,1,5,Dummy Dish 019,Sample menu item 019,,11900,non_veg,hot,false,false,12,19,active
itm_dummy_020,1,6,Dummy Dish 020,Sample menu item 020,,12000,veg,mild,true,true,7,20,active
itm_dummy_021,1,7,Dummy Dish 021,Sample menu item 021,,12100,egg,,true,false,6,21,active
itm_dummy_022,1,1,Dummy Dish 022,Sample menu item 022,,12200,veg,medium,true,false,8,22,active
itm_dummy_023,1,2,Dummy Dish 023,Sample menu item 023,,12300,non_veg,hot,true,false,12,23,active
itm_dummy_024,1,3,Dummy Dish 024,Sample menu item 024,,12400,egg,mild,true,false,10,24,active
itm_dummy_025,1,4,Dummy Dish 025,Sample menu item 025,,12500,veg,medium,true,true,9,25,active
itm_dummy_026,1,5,Dummy Dish 026,Sample menu item 026,,12600,non_veg,hot,true,false,12,26,active
itm_dummy_027,1,6,Dummy Dish 027,Sample menu item 027,,12700,veg,mild,true,false,7,27,active
itm_dummy_028,1,7,Dummy Dish 028,Sample menu item 028,,12800,egg,,true,false,6,28,active
itm_dummy_029,1,1,Dummy Dish 029,Sample menu item 029,,12900,veg,mild,true,false,8,29,active
itm_dummy_030,1,2,Dummy Dish 030,Sample menu item 030,,13000,non_veg,medium,false,true,12,30,active
itm_dummy_031,1,3,Dummy Dish 031,Sample menu item 031,,13100,egg,hot,true,false,10,31,active
itm_dummy_032,1,4,Dummy Dish 032,Sample menu item 032,,13200,veg,medium,true,false,9,32,active
itm_dummy_033,1,5,Dummy Dish 033,Sample menu item 033,,13300,non_veg,hot,true,false,13,33,active
itm_dummy_034,1,6,Dummy Dish 034,Sample menu item 034,,13400,veg,mild,true,false,7,34,active
itm_dummy_035,1,7,Dummy Dish 035,Sample menu item 035,,13500,egg,,true,true,6,35,active
itm_dummy_036,1,1,Dummy Dish 036,Sample menu item 036,,13600,veg,medium,true,false,8,36,active
itm_dummy_037,1,2,Dummy Dish 037,Sample menu item 037,,13700,non_veg,hot,true,false,12,37,active
itm_dummy_038,1,3,Dummy Dish 038,Sample menu item 038,,13800,egg,mild,true,false,10,38,active
itm_dummy_039,1,4,Dummy Dish 039,Sample menu item 039,,13900,veg,medium,true,false,9,39,active
itm_dummy_040,1,5,Dummy Dish 040,Sample menu item 040,,14000,non_veg,hot,false,true,13,40,active
itm_dummy_041,1,6,Dummy Dish 041,Sample menu item 041,,14100,veg,mild,true,false,7,41,active
itm_dummy_042,1,7,Dummy Dish 042,Sample menu item 042,,14200,egg,,true,false,6,42,active
itm_dummy_043,1,1,Dummy Dish 043,Sample menu item 043,,14300,veg,mild,true,false,8,43,active
itm_dummy_044,1,2,Dummy Dish 044,Sample menu item 044,,14400,non_veg,medium,true,false,12,44,active
itm_dummy_045,1,3,Dummy Dish 045,Sample menu item 045,,14500,egg,hot,true,true,10,45,active
itm_dummy_046,1,4,Dummy Dish 046,Sample menu item 046,,14600,veg,medium,true,false,9,46,active
itm_dummy_047,1,5,Dummy Dish 047,Sample menu item 047,,14700,non_veg,hot,true,false,13,47,active
itm_dummy_048,1,6,Dummy Dish 048,Sample menu item 048,,14800,veg,mild,true,false,7,48,active
itm_dummy_049,1,7,Dummy Dish 049,Sample menu item 049,,14900,egg,,true,false,6,49,active
itm_dummy_050,1,1,Dummy Dish 050,Sample menu item 050,,15000,veg,medium,false,true,8,50,active
itm_dummy_051,1,2,Dummy Dish 051,Sample menu item 051,,15100,non_veg,hot,true,false,12,51,active
itm_dummy_052,1,3,Dummy Dish 052,Sample menu item 052,,15200,egg,mild,true,false,10,52,active
